error_code,failure_class,payment_method,amount_paise,past_successes,past_failures,hour_of_day,is_international,retry_count,card_network,recommended_action
payment_method_not_enabled,HARD_METHOD_DEAD,netbanking,199900,2,2,13,0,1,N/A,use_different_method
vpa_resolution_failed,NETWORK_TIMEOUT,card,999000,8,0,10,0,3,Visa,retry_later
authentication_failed,SOFT_RETRYABLE,card,149516,3,1,15,0,3,Visa,retry_now
incorrect_otp,SOFT_RETRYABLE,card,399196,8,2,15,0,2,RuPay,retry_now
card_not_enrolled,HARD_METHOD_DEAD,card,299900,4,9,18,0,0,RuPay,enable_online_transactions
credit_failed,SOFT_RETRYABLE,upi,99990,6,1,20,0,1,N/A,use_different_method
bank_cutoff_in_progress,NETWORK_TIMEOUT,card,314888,20,0,22,1,2,Mastercard,retry_later
card_declined,HARD_METHOD_DEAD,card,71248,7,8,0,0,0,RuPay,use_different_method
transaction_on_vpa_restricted,HARD_METHOD_DEAD,upi,69370,0,3,18,0,0,N/A,use_different_method
mandate_creation_timeout,NETWORK_TIMEOUT,upi,499900,12,4,10,0,3,N/A,retry_later
insufficient_funds,SOFT_RETRYABLE,netbanking,199900,3,1,22,0,1,N/A,retry_later
input_validation_failed,UNKNOWN,card,310944,18,3,21,0,3,Mastercard,check_card_details
gateway_technical_error,NETWORK_TIMEOUT,upi,99900,12,0,11,0,1,N/A,retry_later
payment_failed,SOFT_RETRYABLE,card,37980,12,3,18,0,3,RuPay,retry_later
payment_cancelled,SOFT_RETRYABLE,card,17000,14,9,16,0,3,Visa,retry_now
payment_collect_request_expired,SOFT_RETRYABLE,upi,19990,17,0,17,0,2,N/A,retry_now
incorrect_cardholder_name,SOFT_RETRYABLE,card,37916,17,6,10,0,1,RuPay,check_card_details
psp_app_not_available,NETWORK_TIMEOUT,card,99900,12,2,10,0,3,RuPay,retry_later
mandate_creation_timeout,NETWORK_TIMEOUT,card,199900,14,0,19,0,3,Mastercard,retry_later
mandate_creation_timeout,NETWORK_TIMEOUT,upi,99990,7,1,14,0,5,N/A,retry_later
mandate_creation_expired,SOFT_RETRYABLE,upi,19990,11,0,11,0,2,N/A,retry_now
mcc_amount_limit_exceeded,HARD_METHOD_DEAD,upi,777218,0,4,20,0,1,N/A,use_different_method
payment_risk_check_failed,RISK_FLAGGED,upi,126586,10,5,14,0,2,N/A,vendor_review
vpa_resolution_failed,NETWORK_TIMEOUT,card,49990,5,1,18,1,1,RuPay,retry_later
payment_amount_tampered,RISK_FLAGGED,upi,49990,4,7,1,0,0,N/A,vendor_review
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,985267,18,5,5,0,1,N/A,use_different_method
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,339784,5,3,10,0,1,N/A,use_different_method
server_error,NETWORK_TIMEOUT,card,62127,8,5,8,0,3,Mastercard,retry_later
card_expired,HARD_METHOD_DEAD,card,33305,8,9,19,0,1,Visa,use_different_card
verification_failed,NETWORK_TIMEOUT,upi,99900,14,0,17,0,5,N/A,retry_later
transaction_limit_exceeded,SOFT_RETRYABLE,card,116235,14,1,16,0,2,Mastercard,use_different_method
